Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
0.70002943,-0.9989853,1.0773095,-1.8934698,0.6991948,-0.035336558,0.5687922,1.0204492,1.3255986,1.0684378,1.0601537,-0.28827873,2.902645,0.32679185,-0.10342487,0.8979918,1.2663658,1.5386024,0.17624614,1.8552188,0.9842055,0.12536877,2.132506,0.74606985,0.04782342
0.98780036,-0.943282,1.0162548,-1.3953097,0.6643137,0.73138595,0.70146567,0.8307928,1.3167564,0.95648265,1.0298684,-0.07445462,3.9420664,0.26696917,-0.19646439,0.87188375,1.0123212,1.5425835,0.25090796,1.664857,0.9805199,0.13305825,2.0059526,0.7281071,0.042101674
1.5087962,-0.8727711,0.9967467,-1.1053499,0.5095932,1.3826085,0.872915,0.7180449,1.0529011,0.8691861,1.0140288,0.6734945,2.8788211,0.32493153,-0.43800172,0.7165713,0.46365625,1.6130061,0.3363084,1.3319836,0.9807337,0.15946561,1.8187008,0.72970915,0.042019777
1.925685,-0.7679017,0.9280909,-0.9849226,0.5227241,1.4090238,0.7325678,0.82058203,0.91965127,0.9431031,0.99145603,0.589302,1.7977229,0.31636915,-0.8045019,0.56694466,0.34974068,1.6337527,0.31826478,1.26476,0.99640095,0.1454379,1.763946,0.81143945,0.037499897
1.9653575,-0.72959834,0.98728245,-1.1657429,0.58484745,1.234762,0.5259317,1.0321362,0.7405677,1.2110155,0.97255814,0.49075732,0.8733784,0.33967206,-1.2290214,0.49048293,0.64222556,1.6944757,0.24232894,1.4745566,1.0281454,0.07549543,1.9051076,0.9167954,0.019488804
1.8261889,-0.7112714,0.96540236,-1.3596632,0.66015387,1.2455945,0.26680923,1.2697723,0.7670636,1.390977,0.9575455,0.4654834,0.8098031,0.44249275,-1.6108674,0.4736098,1.4455342,1.4986326,0.10289054,1.9047974,1.1687462,-0.008391552,2.131362,0.93893826,-0.016845413
1.4669542,-0.92460304,1.0963871,-1.6301827,0.67134947,1.1450436,0.17411768,1.650414,0.83059907,1.5832844,0.9466893,0.52408206,1.4042432,0.51319605,-1.9558567,0.42602283,1.4324939,1.4240162,0.057710774,1.9162936,1.0925915,-0.075900726,2.122205,0.8613388,-0.0797329
0.97196233,-1.2213068,1.3066742,-1.7514513,0.6048342,0.97208446,0.22781503,1.9472787,0.8951416,1.7869852,0.96034074,0.37277302,2.2756991,0.54637444,-2.0049295,0.43947184,1.720925,1.4464798,-0.033513807,2.0782986,1.1510211,-0.15466553,2.2246795,0.97915083,-0.16211349
0.5109401,-1.6034497,1.6466702,-2.1880565,0.8631897,0.71492636,0.26541424,2.2548716,0.9980254,2.1693063,0.981793,0.24423057,2.806563,0.47620568,-1.9553708,0.42469156,1.8094726,1.502919,-0.087287925,2.1661093,1.2626127,-0.19643742,2.2580335,1.2360978,-0.20888895
0.09158209,-1.9449735,1.9578122,-2.579511,1.1651391,0.5071765,0.29122758,2.272339,1.0870992,2.2976973,1.0029079,0.18288586,3.1849327,0.41236517,-1.8858587,0.4915948,2.6289506,1.4859035,-1.1144503,2.5574045,1.54521,-1.1071345,2.5219102,1.4433222,-1.12729
-0.14009726,-2.2902975,2.2271821,-3.220935,1.2714869,0.21135533,0.38378227,2.3337402,1.1393234,2.3116462,-0.59011674,-0.2876946,-0.4715407,-0.46583214,-0.4000729,-0.5042254,2.5770779,1.4450513,-1.9347601,2.5418727,1.6323946,-1.9743232,2.4770133,1.3285694,-1.997124
-0.27436072,-2.2623014,2.1777263,-2.9337227,1.1577858,0.16386247,0.42780185,2.2596238,1.0761522,2.0244052,-0.5873856,-0.29669598,-0.47488922,-0.4643542,-0.4040499,-0.5041534,1.8880271,1.7300515,-2.8432586,2.091294,1.5071751,-2.858826,2.2589087,1.1468891,-2.8549106
-0.3669011,-1.8248234,1.800228,-2.128215,1.0626333,0.067070484,0.36890066,2.0401862,0.8073199,1.478393,-0.5870036,-0.30110583,-0.4702583,-0.46631685,-0.40287915,-0.50520885,1.5784602,1.8209778,-2.849569,1.9215871,1.4915695,-2.8496952,2.1498182,1.2365432,-2.8476565
-0.40822738,-1.0675446,1.2097584,-1.0762334,1.1100616,-0.14911896,0.19880903,1.5122898,0.4208124,0.8667735,-0.5877358,-0.2983146,-0.46840954,-0.47066858,-0.4069228,-0.507733,1.0042759,1.885492,-2.8487628,1.5913268,1.4671204,-2.847943,1.9269546,1.2209265,-2.8462195
-0.43006808,-0.48265132,0.7181009,-0.36362645,1.2133893,-0.37848198,-0.016700871,1.0697091,0.16151366,0.46591407,-0.58706987,-0.29888397,-0.46973783,-0.47185114,-0.40570906,-0.5078442,0.97065574,1.8448181,-2.8445053,1.5204468,1.4498727,-2.8449807,1.8760105,1.1697878,-2.8454514
-0.44221234,-0.24217662,0.48819673,-0.046276644,1.1239073,-0.4651444,-0.10388077,0.8770443,-0.06405941,0.037469666,-0.5872616,-0.30035797,-0.47036624,-0.47053245,-0.40483895,-0.50827444,0.93197817,1.8428727,-2.8444388,1.5071641,1.4968644,-2.8452666,1.8688382,1.1717507,-2.8448153
