Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
-0.25387874,-1.6976633,2.0023804,-0.42541164,-0.0008663237,-0.36900875,1.7532969,1.1400421,0.024422366,0.25676662,2.2455063,-0.3419906,-0.42173076,2.100351,2.6237807,2.2989917,1.1782166,2.0262516,0.08931232,1.8127998,1.855519,-0.29284915,2.218756,1.403102,-0.40012437
-0.18680704,-1.8667767,2.2470047,-0.032626577,-0.14114472,-0.13707118,1.8400314,1.4321575,0.046799168,0.1786735,2.2400265,-0.3055287,0.6278183,2.2171006,2.8973,2.3495772,1.589823,2.071758,0.10583276,2.0592391,2.0085442,-0.26712304,2.3552604,1.6941787,-0.35672075
-0.07028397,-1.9229392,2.4068413,0.4801512,-0.009714909,0.13767034,1.9106483,1.6065208,-0.015239984,0.3149012,2.227863,0.36243832,3.1080801,2.216941,3.14038,2.4131835,1.9017226,1.9089539,0.06966976,2.2311647,1.8527932,-0.29252395,2.4696586,1.6976099,-0.39326423
0.09458996,-1.8001108,2.434751,0.7061972,-0.017960444,0.27152914,2.0001295,1.5079738,-0.30832493,0.3589673,2.17772,1.2023607,2.753478,2.0904145,2.986951,2.3826396,2.168006,1.7144796,0.053096287,2.355346,1.7054012,-0.3281426,2.5711865,1.54249,-0.38471544
0.25836465,-1.6498576,2.3895242,0.43293214,-0.014445029,0.4099141,2.0267963,1.4442285,-0.42718086,0.48430404,2.1134937,1.0075884,2.341736,1.8075081,2.2150402,2.0200372,2.0901608,1.4431157,0.122632526,2.3353858,1.4288975,-0.27899528,2.5506117,1.2143407,-0.29801074
0.37887877,-1.7452605,2.438474,0.14624292,-0.2467696,0.51537335,2.0669577,1.5561225,-0.35680655,0.43152657,2.067893,1.11977,1.9315175,1.4174198,1.1291263,1.5319622,2.0854475,1.3386483,0.18635565,2.3447964,1.3793082,-0.22299698,2.5174935,1.1083775,-0.19028056
0.4873188,-1.8820015,2.4417458,0.16829592,-0.6298191,0.49919116,2.0931087,1.6590254,-0.20901215,0.13063577,2.0473592,1.0709554,1.0442563,1.275659,0.12922953,1.1178046,2.0853028,1.3102893,0.23660809,2.3987198,1.5003945,-0.16675591,2.4779139,1.1706811,-0.07271969
0.8548226,-1.6259316,2.121897,0.733491,-1.3916347,0.9557302,2.057773,1.4233923,-0.16414315,-0.70333934,2.035326,0.68135595,0.36111236,1.5627117,-0.29829755,0.9868498,1.5626837,1.5773627,0.33014214,1.9801502,1.838046,-0.013197798,2.2477252,1.070353,0.01971396
1.3497651,-1.0725989,1.583957,0.96753186,-2.1221437,1.4628108,1.9063206,1.1139208,-0.31831062,-1.7952442,2.0217273,0.68918884,0.39590177,1.8906308,-0.3436434,0.9444633,1.4863058,1.7434353,0.39032555,1.886923,1.8514984,0.08797464,2.2339706,0.7501488,0.08250689
1.8077192,-0.40477276,1.1052262,1.0779294,-2.4508393,1.5065066,1.7085165,0.7985971,-0.47128174,-2.595287,2.0162206,0.70016223,0.50477636,1.9955775,-0.3139903,1.0110259,1.3558861,1.8608174,0.40271473,1.7363685,1.9426649,0.15674955,2.2172115,0.64549196,0.080038585
